RegionID_x,RegionName_x,monthly_price_slope,monthly_price_change_std,total_data_points,last_avg_price,sharpe_ratios,Region,StateName,CountyName,CityName,ForecastedDate,ForecastYoYPctChange,zillow_1yr_revenue_forecast,first_three_zip_digits,last_two_zip_digits_x,RegionID_y,RegionName_y,monthly_rent_approx,last_two_zip_digits_y,zip_abs_diff,approx_rental_yield
94926,85350,1223.0,1533.0,61,221887.0,0.7977821265492498,Zip,AZ,Yuma County,Somerton,2022-11-30,19.3,42824.191,853,50,94929,85353,2047.0,53,3,0.009225416540851876
69756,28164,1569.0,1681.0,61,295048.0,0.933372992266508,Zip,NC,Gaston County,Stanley,2022-11-30,19.3,56944.264,281,64,69762,28173,2386.0,73,9,0.008086819771698164
90936,75474,1119.0,1818.0,61,209273.0,0.6155115511551155,Zip,TX,Hunt County,West Tawakoni,2022-11-30,19.3,40389.689,754,74,90880,75409,1942.0,9,65,0.00927974463977675
97297,93505,1667.0,1856.0,61,250938.0,0.8981681034482759,Zip,CA,Kern County,California City,2022-11-30,19.3,48431.034,935,5,97319,93536,2314.0,36,31,0.009221401302313718
94925,85349,1116.0,1443.0,61,208130.0,0.7733887733887734,Zip,AZ,Yuma County,San Luis,2022-11-30,19.3,40169.090000000004,853,49,94921,85345,1761.0,45,4,0.008461057992600779
76591,43223,1336.0,819.0,61,148831.0,1.6312576312576312,Zip,OH,Franklin County,Columbus,2022-11-30,19.2,28575.552,432,23,76594,43227,1234.0,27,4,0.008291283401979427
96778,92277,1782.0,1972.0,61,239147.0,0.9036511156186613,Zip,CA,San Bernardino County,Twentynine Palms,2022-11-30,19.1,45677.077000000005,922,77,96769,92264,2123.0,64,13,0.008877385039327276
92338,78242,901.0,781.0,61,153971.0,1.1536491677336749,Zip,TX,Bexar County,San Antonio,2022-11-30,19.0,29254.49,782,42,92336,78240,1291.0,40,2,0.008384695819342603
77507,45216,1123.0,957.0,61,134170.0,1.1734587251828632,Zip,OH,Hamilton County,Cincinnati,2022-11-30,19.0,25492.3,452,16,77510,45219,1590.0,19,3,0.011850637251248417
96750,92243,1559.0,2805.0,61,313986.0,0.5557932263814617,Zip,CA,Imperial County,El Centro,2022-11-30,19.0,59657.340000000004,922,43,96743,92234,2646.0,34,9,0.008427127324148211
72445,33142,2457.0,1518.0,61,323805.0,1.6185770750988142,Zip,FL,Miami-Dade County,Miami,2022-11-30,19.0,61522.95,331,42,72446,33143,2622.0,43,1,0.00809746606754065
71745,32038,1058.0,2081.0,61,230240.0,0.5084094185487746,Zip,FL,Columbia County,Fort White,2022-11-30,18.9,43515.36,320,38,71743,32034,2226.0,34,4,0.0096681723419041
69416,27565,773.0,1162.0,61,170297.0,0.6652323580034424,Zip,NC,Granville County,Oxford,2022-11-30,18.9,32186.133,275,65,69412,27560,1731.0,60,5,0.010164594796150256
70480,29440,745.0,1303.0,61,197006.0,0.5717574827321565,Zip,SC,Georgetown County,Georgetown,2022-11-30,18.8,37037.128,294,40,70482,29445,1713.0,45,5,0.00869516664467072
94940,85364,1199.0,1550.0,61,224862.0,0.7735483870967742,Zip,AZ,Yuma County,Yuma,2022-11-30,18.8,42274.056,853,64,94948,85374,1876.0,74,10,0.008342894753226424
90897,75428,1364.0,1454.0,61,203658.0,0.938101788170564,Zip,TX,Hunt County,Commerce,2022-11-30,18.8,38287.704,754,28,90880,75409,1942.0,9,19,0.00953559398599613
91250,76105,1520.0,1019.0,61,166293.0,1.491658488714426,Zip,TX,Tarrant County,Fort Worth,2022-11-30,18.8,31263.084,761,5,91252,76107,1576.0,7,2,0.009477247989993566
72922,33935,1034.0,811.0,61,185764.0,1.2749691738594329,Zip,FL,Hendry County,Labelle,2022-11-30,18.7,34737.868,339,35,72912,33919,1769.0,19,16,0.009522835425593764
71739,32025,768.0,1483.0,61,172847.0,0.5178691840863116,Zip,FL,Columbia County,Lake City,2022-11-30,18.6,32149.542000000005,320,25,71743,32034,2226.0,34,9,0.012878441627566576
96775,92274,1335.0,2322.0,61,228582.0,0.5749354005167958,Zip,CA,Imperial County,Thermal,2022-11-30,18.6,42516.25200000001,922,74,96769,92264,2123.0,64,10,0.009287695444085711
90748,75180,1377.0,1341.0,61,212610.0,1.0268456375838926,Zip,TX,Dallas County,Balch Springs,2022-11-30,18.5,39332.85,751,80,90753,75189,2019.0,89,9,0.009496260759136448
98164,95388,2214.0,2140.0,61,322936.0,1.0345794392523364,Zip,CA,Merced County,Winton,2022-11-30,18.5,59743.159999999996,953,88,98166,95391,3043.0,91,3,0.00942291971164565
71738,32024,1034.0,2049.0,61,241565.0,0.5046364080039043,Zip,FL,Columbia County,Lake City,2022-11-30,18.3,44206.395000000004,320,24,71743,32034,2226.0,34,10,0.009214911100531948
91289,76164,1200.0,1076.0,61,174642.0,1.1152416356877324,Zip,TX,Tarrant County,Fort Worth,2022-11-30,18.3,31959.486000000004,761,64,91291,76179,1842.0,79,15,0.010547291029649226
91251,76106,1175.0,1116.0,61,178082.0,1.0528673835125448,Zip,TX,Tarrant County,Fort Worth,2022-11-30,18.1,32232.842000000004,761,6,91252,76107,1576.0,7,1,0.008849855684459968
72370,33032,1768.0,2070.0,61,374442.0,0.8541062801932368,Zip,FL,Miami-Dade County,Princeton,2022-11-30,18.0,67399.56,330,32,72367,33029,3141.0,29,3,0.008388482061307226
72368,33030,2019.0,2008.0,61,366294.0,1.0054780876494025,Zip,FL,Miami-Dade County,Homestead,2022-11-30,18.0,65932.92,330,30,72367,33029,3141.0,29,1,0.008575079034873626
92321,78225,827.0,1166.0,61,144687.0,0.70926243567753,Zip,TX,Bexar County,San Antonio,2022-11-30,17.8,25754.286000000004,782,25,92323,78227,1210.0,27,2,0.008362879871723098
65806,19139,1512.0,1105.0,61,144265.0,1.3683257918552036,Zip,PA,Philadelphia County,Philadelphia,2022-11-30,17.8,25679.170000000002,191,39,65806,19139,1257.0,39,0,0.008713132083318892
70931,30161,937.0,812.0,61,158171.0,1.1539408866995073,Zip,GA,Floyd County,Rome,2022-11-30,17.8,28154.438000000002,301,61,70936,30168,1846.0,68,7,0.01167091312566779
60392,06608,1653.0,1487.0,61,229086.0,1.1116341627437794,Zip,CT,Fairfield County,Bridgeport,2022-11-30,17.7,40548.221999999994,066,8,60390,06606,2219.0,6,2,0.00968631867508272
76587,43219,1187.0,899.0,61,152061.0,1.3203559510567298,Zip,OH,Franklin County,Columbus,2022-11-30,17.7,26914.797,432,19,76594,43227,1234.0,27,8,0.00811516430906018
69746,28144,928.0,1315.0,61,160761.0,0.7057034220532319,Zip,NC,Rowan County,Salisbury,2022-11-30,17.7,28454.697,281,44,69728,28117,1554.0,17,27,0.009666523597141099
65334,18058,1445.0,2011.0,61,255124.0,0.7185479860765788,Zip,PA,Monroe County,Polk Township,2022-11-30,17.5,44646.700000000004,180,58,65337,18062,2110.0,62,4,0.008270488076386385
69748,28146,1201.0,1370.0,61,242531.0,0.8766423357664234,Zip,NC,Rowan County,Salisbury,2022-11-30,17.4,42200.394,281,46,69762,28173,2386.0,73,27,0.009837917627025
96740,92231,1794.0,2687.0,61,327035.0,0.6676590993673241,Zip,CA,Imperial County,Calexico,2022-11-30,17.4,56904.09,922,31,96743,92234,2646.0,34,3,0.00809087712324369
70887,30110,981.0,656.0,61,183990.0,1.4954268292682926,Zip,GA,Haralson County,Bremen,2022-11-30,17.4,32014.26,301,10,70891,30114,1928.0,14,4,0.010478830371215827
90684,75090,971.0,1373.0,61,171156.0,0.7072104879825201,Zip,TX,Grayson County,Sherman,2022-11-30,17.3,29609.988,750,90,90683,75089,1653.0,89,1,0.00965785599102573
69331,27401,972.0,749.0,61,131013.0,1.2977303070761015,Zip,NC,Guilford County,Greensboro,2022-11-30,17.2,22534.235999999997,274,1,69336,27406,1369.0,6,5,0.010449344721516185
